Toronto,118,296,610,746,1075,1114,1241,1246,1285,1305,1310,1325,1547,2013,2056,2185,2198,2228,2340,2634,2935,3117,3541,3710,4015,4152,4248,4252,4308,4343,4476,4525,4618,4704,4732,4783,4939,4976,5031,5036,5076,5094,5428,5580,5596,5719,5807,6046,6070,6125,6140,6141
OPR 2015,2,1336,306,1922,1813,3,905,1409,388,261,111,87,1568,462,5,737,1875,237,2682,2651,1366,492,2736,1989,2762,2022,2729,1929,1027,561,399,782,547,2391,2365,2314,1655,391,950,2253,1845,2209,1473,2055,2011,2049,,,,,,
OPR 2014,3,1263,29,1419,767,1,48,2620,426,2113,141,510,1984,78,4,744,617,1352,811,1358,454,267,2050,513,1819,1577,2583,1654,685,522,163,902,2535,2431,1633,2492,2488,446,1954,2164,2315,2610,,,,,,,,,,
OPR 2013,5,1548,40,,1319,1,73,,,432,74,1293,428,317,2,1942,,420,1512,1306,1270,129,1921,1106,1684,1573,,1818,,168,698,1267,685,1451,1898,1388,,,,,,,,,,,,,,,,
OPR 2012,17,1418,99,,1228,5,188,989,,657,213,1150,776,352,7,556,1156,85,1279,2225,2056,1030,1598,546,1956,2137,1919,864,2206,799,,,,,,,,,,,,,,,,,,,,,,
OPR 2011,27,1351,69,,239,2,347,436,,246,150,827,1344,309,5,,1221,524,781,1319,1989,396,315,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPR 2010,55,1431,163,,1593,1,191,878,,36,137,311,1064,390,4,877,1615,320,1115,895,673,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPR 2009,47,922,129,,812,10,267,1465,,869,220,1380,1138,879,6,704,603,657,1476,1359,746,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPR 2008,106,827,585,,490,1,242,193,,84,79,1063,646,821,6,1494,548,433,338,1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
